API,Module,Controller,Handler,Request DTO,Response DTO,Permission,Enforcement Status,Source
POST /api/v1/alarm/acknowledge-alarm,alarm,SpringAlarmController,acknowledgeAlarm,AcknowledgeAlarmRequest; CloseAlarmRequest; RaiseAlarmRequest; package-info,AlarmResponse; package-info,HIDRA_ALARM_ACKNOWLEDGE_ALARM_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/alarm/api/rest/controller/SpringAlarmController.java
POST /api/v1/alarm/alarms,alarm,SpringAlarmController,raiseAlarm,AcknowledgeAlarmRequest; CloseAlarmRequest; RaiseAlarmRequest; package-info,AlarmResponse; package-info,HIDRA_ALARM_ALARMS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/alarm/api/rest/controller/SpringAlarmController.java
POST /api/v1/alarm/alarms/acknowledgements,alarm,SpringAlarmController,acknowledgeAlarm,AcknowledgeAlarmRequest; CloseAlarmRequest; RaiseAlarmRequest; package-info,AlarmResponse; package-info,HIDRA_ALARM_ALARMS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/alarm/api/rest/controller/SpringAlarmController.java
POST /api/v1/alarm/alarms/closures,alarm,SpringAlarmController,closeAlarm,AcknowledgeAlarmRequest; CloseAlarmRequest; RaiseAlarmRequest; package-info,AlarmResponse; package-info,HIDRA_ALARM_ALARMS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/alarm/api/rest/controller/SpringAlarmController.java
GET /api/v1/alarm/capabilities,alarm,SpringAlarmController,capabilities,Unable to determine from static route evidence,AlarmResponse; package-info,HIDRA_ALARM_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/alarm/api/rest/controller/SpringAlarmController.java
POST /api/v1/alarm/close-alarm,alarm,SpringAlarmController,closeAlarm,AcknowledgeAlarmRequest; CloseAlarmRequest; RaiseAlarmRequest; package-info,AlarmResponse; package-info,HIDRA_ALARM_CLOSE_ALARM_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/alarm/api/rest/controller/SpringAlarmController.java
POST /api/v1/alarm/raise-alarm,alarm,SpringAlarmController,raiseAlarm,AcknowledgeAlarmRequest; CloseAlarmRequest; RaiseAlarmRequest; package-info,AlarmResponse; package-info,HIDRA_ALARM_RAISE_ALARM_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/alarm/api/rest/controller/SpringAlarmController.java
GET /api/v1/analytics/capabilities,analytics,SpringAnalyticsController,capabilities,Unable to determine from static route evidence,AnalyticsDatasetResponse; AnalyticsInsightResponse; AnalyticsProjectionRunResponse; MetricEvaluationRunResponse; package-info,HIDRA_ANALYTICS_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/analytics/api/rest/controller/SpringAnalyticsController.java
POST /api/v1/analytics/create-analytics-dataset,analytics,SpringAnalyticsController,createAnalyticsDataset,CreateAnalyticsDatasetRequest; CreateAnalyticsInsightRequest; RunMetricEvaluationRequest; RunProjectionRequest; package-info,AnalyticsDatasetResponse; AnalyticsInsightResponse; AnalyticsProjectionRunResponse; MetricEvaluationRunResponse; package-info,HIDRA_ANALYTICS_CREATE_ANALYTICS_DATASET_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/analytics/api/rest/controller/SpringAnalyticsController.java
POST /api/v1/analytics/create-analytics-insight,analytics,SpringAnalyticsController,createAnalyticsInsight,CreateAnalyticsDatasetRequest; CreateAnalyticsInsightRequest; RunMetricEvaluationRequest; RunProjectionRequest; package-info,AnalyticsDatasetResponse; AnalyticsInsightResponse; AnalyticsProjectionRunResponse; MetricEvaluationRunResponse; package-info,HIDRA_ANALYTICS_CREATE_ANALYTICS_INSIGHT_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/analytics/api/rest/controller/SpringAnalyticsController.java
POST /api/v1/analytics/datasets,analytics,SpringAnalyticsController,createAnalyticsDataset,CreateAnalyticsDatasetRequest; CreateAnalyticsInsightRequest; RunMetricEvaluationRequest; RunProjectionRequest; package-info,AnalyticsDatasetResponse; AnalyticsInsightResponse; AnalyticsProjectionRunResponse; MetricEvaluationRunResponse; package-info,HIDRA_ANALYTICS_DATASETS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/analytics/api/rest/controller/SpringAnalyticsController.java
POST /api/v1/analytics/insights,analytics,SpringAnalyticsController,createAnalyticsInsight,CreateAnalyticsDatasetRequest; CreateAnalyticsInsightRequest; RunMetricEvaluationRequest; RunProjectionRequest; package-info,AnalyticsDatasetResponse; AnalyticsInsightResponse; AnalyticsProjectionRunResponse; MetricEvaluationRunResponse; package-info,HIDRA_ANALYTICS_INSIGHTS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/analytics/api/rest/controller/SpringAnalyticsController.java
