route,page,module,purpose,personas,permissions,apis,workflows,widgets,notifications
/login,Login,security,Authenticate through the configured enterprise identity provider or JWT acquisition flow. HidraAPI exposes resource-server JWT validation but no local login endpoint.,All users,External IdP / no HidraAPI login permission evidence,Unable to determine from available evidence. JWT resource-server mode is backend evidence; frontend login is IdP-driven.,Authentication session lifecycle,Login form; language selector; security notice,Authentication error toast only
/dashboard,Operational Command Dashboard,monitoring,"Provide operational situation awareness across alarms, monitoring, topology, leaks, risk and notifications.",Control Room Operators; Operational Engineers; Managers; Executives,Derived from module read permissions and authenticated user session,GET /api/v1/workbench/modules; GET /api/v1/realtime/capabilities; GET /api/v1/realtime/sse,Operational awareness and triage,KPI cards; alarm strip; map thumbnail; realtime feed; recent work items,Realtime heartbeat/events when available
/security/permissions,Permission Catalog,security,Expose backend-derived route permission metadata for frontend guards and menu visibility.,Administrators,HIDRA_SECURITY_PERMISSIONS_READ,GET /api/v1/security/permissions/catalog; GET /api/v1/security/permissions/routes,Security governance,Permission table; route filter; export action,None
/realtime,Realtime Monitor,realtime,Monitor SSE/STOMP connectivity and backend realtime capabilities.,Administrators; Control Room Operators,HIDRA_REALTIME_CAPABILITIES_READ,GET /api/v1/realtime/capabilities; GET /api/v1/realtime/sse; WS /api/v1/realtime/ws,Operational event streaming,Connection status; topic list; event log,SSE/STOMP event banners
/topology/map,Topology GIS Map,topology,"Visualize topology map layers, GeoJSON features, facilities, nodes, pipeline segments and connections.",Operational Engineers; Control Room Operators; Field Supervisors,HIDRA_TOPOLOGY_MAP_READ,GET /api/v1/topology/map/layers; GET /api/v1/topology/map/geojson; GET /api/v1/topology/map/search,Network visualization and operational navigation,Leaflet map; layer tree; legend; search; feature popup; filter drawer,Realtime topology update indicators when backend publishes events
/alarm,Alarm Workbench,alarm,"Alarm lifecycle, escalation, acknowledgement and closure evidence.",Control Room Operators; Field Supervisors,HIDRA_ALARM_*_READ / HIDRA_ALARM_*_EXECUTE derived from permission catalog,GET /api/v1/alarm/capabilities; GET /api/v1/alarm/workbench/resources; GET /api/v1/alarm/workbench/{resource}; POST /api/v1/alarm/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/analytics,Analytics Workbench,analytics,"Operational KPIs, insights, projections and digital twin readiness.",Department Managers; Executives; Operational Engineers,HIDRA_ANALYTICS_*_READ / HIDRA_ANALYTICS_*_EXECUTE derived from permission catalog,GET /api/v1/analytics/capabilities; GET /api/v1/analytics/workbench/resources; GET /api/v1/analytics/workbench/{resource}; POST /api/v1/analytics/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/assets,Assets Workbench,assets,"Maintainable asset registry, lifecycle and maintenance context.",Operational Engineers; Field Supervisors,HIDRA_ASSETS_*_READ / HIDRA_ASSETS_*_EXECUTE derived from permission catalog,GET /api/v1/assets/capabilities; GET /api/v1/assets/workbench/resources; GET /api/v1/assets/workbench/{resource}; POST /api/v1/assets/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/audit,Audit Workbench,audit,"Audit evidence, access records and event traceability.",Administrators; Department Managers,HIDRA_AUDIT_*_READ / HIDRA_AUDIT_*_EXECUTE derived from permission catalog,GET /api/v1/audit/capabilities; GET /api/v1/audit/workbench/resources; GET /api/v1/audit/workbench/{resource}; POST /api/v1/audit/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/configuration,Configuration Workbench,configuration,"Configuration values, change requests, snapshots and deployment.",Administrators,HIDRA_CONFIGURATION_*_READ / HIDRA_CONFIGURATION_*_EXECUTE derived from permission catalog,GET /api/v1/configuration/capabilities; GET /api/v1/configuration/workbench/resources; GET /api/v1/configuration/workbench/{resource}; POST /api/v1/configuration/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
